/content/nturgb+d_skeletons/S005C002P010R001A026.skeleton,26,10
/content/nturgb+d_skeletons/S011C003P007R001A023.skeleton,23,7
/content/nturgb+d_skeletons/S001C002P007R001A022.skeleton,22,7
/content/nturgb+d_skeletons/S011C003P001R001A013.skeleton,13,1
/content/nturgb+d_skeletons/S014C002P007R001A012.skeleton,12,7
/content/nturgb+d_skeletons/S015C002P007R001A013.skeleton,13,7
/content/nturgb+d_skeletons/S005C002P013R001A046.skeleton,46,13
/content/nturgb+d_skeletons/S008C003P001R001A046.skeleton,46,1
/content/nturgb+d_skeletons/S008C003P001R001A028.skeleton,28,1
/content/nturgb+d_skeletons/S001C003P006R001A028.skeleton,28,6
/content/nturgb+d_skeletons/S007C001P019R001A025.skeleton,25,19
/content/nturgb+d_skeletons/S012C001P007R001A027.skeleton,27,7
/content/nturgb+d_skeletons/S001C003P008R001A047.skeleton,47,8
/content/nturgb+d_skeletons/S008C003P033R001A009.skeleton,9,33
/content/nturgb+d_skeletons/S017C003P007R001A003.skeleton,3,7
/content/nturgb+d_skeletons/S010C001P008R001A030.skeleton,30,8
/content/nturgb+d_skeletons/S012C003P017R001A030.skeleton,30,17
/content/nturgb+d_skeletons/S015C002P007R001A021.skeleton,21,7
/content/nturgb+d_skeletons/S013C003P037R001A011.skeleton,11,37
/content/nturgb+d_skeletons/S011C003P002R001A025.skeleton,25,2
/content/nturgb+d_skeletons/S010C001P021R001A023.skeleton,23,21
/content/nturgb+d_skeletons/S002C001P013R001A008.skeleton,8,13
/content/nturgb+d_skeletons/S013C002P017R001A045.skeleton,45,17
/content/nturgb+d_skeletons/S011C001P038R001A032.skeleton,32,38
/content/nturgb+d_skeletons/S009C001P016R001A005.skeleton,5,16
/content/nturgb+d_skeletons/S009C002P015R001A012.skeleton,12,15
/content/nturgb+d_skeletons/S008C002P035R001A047.skeleton,47,35
/content/nturgb+d_skeletons/S007C003P016R001A019.skeleton,19,16
/content/nturgb+d_skeletons/S009C003P016R001A020.skeleton,20,16
/content/nturgb+d_skeletons/S003C001P015R001A002.skeleton,2,15
/content/nturgb+d_skeletons/S007C003P026R001A040.skeleton,40,26
/content/nturgb+d_skeletons/S008C003P001R001A042.skeleton,42,1
/content/nturgb+d_skeletons/S002C003P008R001A038.skeleton,38,8
/content/nturgb+d_skeletons/S016C003P007R001A049.skeleton,49,7
/content/nturgb+d_skeletons/S014C002P037R001A020.skeleton,20,37
/content/nturgb+d_skeletons/S011C003P016R001A034.skeleton,34,16
/content/nturgb+d_skeletons/S008C002P007R001A039.skeleton,39,7
/content/nturgb+d_skeletons/S005C001P010R001A016.skeleton,16,10
/content/nturgb+d_skeletons/S017C002P020R001A020.skeleton,20,20
/content/nturgb+d_skeletons/S003C001P019R001A017.skeleton,17,19
/content/nturgb+d_skeletons/S017C003P020R001A012.skeleton,12,20
/content/nturgb+d_skeletons/S013C001P007R001A035.skeleton,35,7
/content/nturgb+d_skeletons/S008C003P008R001A012.skeleton,12,8
/content/nturgb+d_skeletons/S004C003P020R001A001.skeleton,1,20
/content/nturgb+d_skeletons/S012C003P027R001A045.skeleton,45,27
/content/nturgb+d_skeletons/S006C002P001R001A012.skeleton,12,1
/content/nturgb+d_skeletons/S010C003P016R001A006.skeleton,6,16
/content/nturgb+d_skeletons/S005C002P021R001A005.skeleton,5,21
/content/nturgb+d_skeletons/S015C001P008R001A024.skeleton,24,8
/content/nturgb+d_skeletons/S007C002P016R001A004.skeleton,4,16
/content/nturgb+d_skeletons/S002C001P013R001A043.skeleton,43,13
/content/nturgb+d_skeletons/S012C003P016R001A034.skeleton,34,16
/content/nturgb+d_skeletons/S003C003P016R001A014.skeleton,14,16
/content/nturgb+d_skeletons/S010C001P008R001A005.skeleton,5,8
/content/nturgb+d_skeletons/S017C001P020R001A042.skeleton,42,20
/content/nturgb+d_skeletons/S001C003P002R001A021.skeleton,21,2
/content/nturgb+d_skeletons/S015C003P019R001A025.skeleton,25,19
/content/nturgb+d_skeletons/S010C002P008R001A010.skeleton,10,8
/content/nturgb+d_skeletons/S012C002P037R001A030.skeleton,30,37
/content/nturgb+d_skeletons/S008C001P029R001A047.skeleton,47,29
/content/nturgb+d_skeletons/S017C003P020R001A042.skeleton,42,20
/content/nturgb+d_skeletons/S003C001P007R001A047.skeleton,47,7
/content/nturgb+d_skeletons/S015C001P019R001A006.skeleton,6,19
/content/nturgb+d_skeletons/S012C002P025R001A011.skeleton,11,25
/content/nturgb+d_skeletons/S012C003P007R001A049.skeleton,49,7
/content/nturgb+d_skeletons/S009C001P025R001A026.skeleton,26,25
/content/nturgb+d_skeletons/S016C001P008R001A041.skeleton,41,8
/content/nturgb+d_skeletons/S012C002P037R001A022.skeleton,22,37
/content/nturgb+d_skeletons/S001C002P007R001A016.skeleton,16,7
/content/nturgb+d_skeletons/S015C001P037R001A016.skeleton,16,37
/content/nturgb+d_skeletons/S008C003P031R001A046.skeleton,46,31
/content/nturgb+d_skeletons/S011C003P028R001A018.skeleton,18,28
/content/nturgb+d_skeletons/S011C002P007R001A030.skeleton,30,7
/content/nturgb+d_skeletons/S013C002P015R001A014.skeleton,14,15
/content/nturgb+d_skeletons/S006C003P023R001A005.skeleton,5,23
/content/nturgb+d_skeletons/S006C003P023R001A021.skeleton,21,23
/content/nturgb+d_skeletons/S013C002P037R001A043.skeleton,43,37
/content/nturgb+d_skeletons/S015C001P007R001A028.skeleton,28,7
/content/nturgb+d_skeletons/S006C002P001R001A002.skeleton,2,1
/content/nturgb+d_skeletons/S013C003P027R001A001.skeleton,1,27
/content/nturgb+d_skeletons/S007C001P016R001A027.skeleton,27,16
/content/nturgb+d_skeletons/S017C001P016R001A049.skeleton,49,16
/content/nturgb+d_skeletons/S003C003P019R001A004.skeleton,4,19
/content/nturgb+d_skeletons/S012C001P015R001A008.skeleton,8,15
/content/nturgb+d_skeletons/S016C002P025R001A029.skeleton,29,25
/content/nturgb+d_skeletons/S012C001P025R001A001.skeleton,1,25
/content/nturgb+d_skeletons/S012C001P008R001A008.skeleton,8,8
/content/nturgb+d_skeletons/S010C003P019R001A020.skeleton,20,19
/content/nturgb+d_skeletons/S013C001P025R001A009.skeleton,9,25
/content/nturgb+d_skeletons/S014C002P039R001A029.skeleton,29,39
/content/nturgb+d_skeletons/S010C003P007R001A046.skeleton,46,7
/content/nturgb+d_skeletons/S001C001P005R001A027.skeleton,27,5
/content/nturgb+d_skeletons/S014C003P007R001A040.skeleton,40,7
/content/nturgb+d_skeletons/S002C003P009R001A026.skeleton,26,9
/content/nturgb+d_skeletons/S016C002P021R001A012.skeleton,12,21
/content/nturgb+d_skeletons/S016C002P007R001A037.skeleton,37,7
